date,high,open,low,close,volume,mav1,mav2,mav3,DiffBB,sameline
1541188800,1.31166,1.31121,1.3094,1.30997,8250,1.30895,1.309139,1.3114728,0.018892803176306927,1
1541376000,1.31049,1.30882,1.3077,1.31009,5041,1.30943,1.3090300000000001,1.3113447999999999,0.01891234108781603,1
1541390400,1.31097,1.31011,1.30992,1.31067,6615,1.310482,1.309166,1.3112951999999998,0.018866867824677502,1
1541404800,1.31121,1.31067,1.31022,1.31086,7379,1.3105600000000002,1.309408,1.3112804,0.018804028717182675,1
1541419200,1.31111,1.31086,1.30944,1.30959,8844,1.3102360000000002,1.309517,1.3112172000000002,0.018932512396715673,1
1541433600,1.31033,1.30959,1.307,1.30988,12049,1.310218,1.3095839999999999,1.3110732,0.018916288715157492,1
1541448000,1.31151,1.30988,1.30969,1.31034,7948,1.310268,1.309849,1.3109191999999998,0.018708475475495145,1
1541462400,1.31126,1.31034,1.3098,1.31119,3771,1.3103719999999999,1.310427,1.3109355999999999,0.018674755026689027,1
1541476800,1.31143,1.31118,1.31098,1.31137,5271,1.310474,1.310517,1.3109348,0.018677341313078966,1
1541491200,1.31153,1.31137,1.31055,1.31092,9109,1.31074,1.3104879999999999,1.3108592,0.018680201527284446,1
1541505600,1.31305,1.31092,1.31083,1.31218,9338,1.3112,1.310709,1.3108664,0.018415078476803348,1
1541520000,1.31341,1.31218,1.31136,1.31323,13193,1.3117779999999999,1.311023,1.3108692000000002,0.018109779358409295,1
1541534400,1.31436,1.31323,1.31242,1.31245,8451,1.31203,1.311201,1.3107744,0.018216274948737343,1
1541548800,1.313,1.31246,1.31059,1.31095,6433,1.311946,1.31121,1.3105864,0.018213111858842,1
1541563200,1.31578,1.31095,1.31023,1.31103,11706,1.3119679999999998,1.3113540000000001,1.3104056,0.018029647305853658,1
1541577600,1.31352,1.31103,1.31067,1.31082,10959,1.311696,1.311448,1.3102784,0.017973856669692534,1
1541592000,1.31083,1.31083,1.30722,1.30776,12347,1.310602,1.31119,1.3101416000000001,0.018272828692081244,1
1541606400,1.31187,1.30775,1.30553,1.31082,19052,1.310276,1.311153,1.3102019999999999,0.01724793619227638,1
1541620800,1.31164,1.31082,1.30946,1.31122,11062,1.31033,1.3111380000000001,1.3103132,0.015569214300254597,1
1541635200,1.31247,1.31122,1.31024,1.31195,5333,1.310514,1.311241,1.3104512,0.013802156483041284,1
1541649600,1.31231,1.31195,1.31129,1.31209,10077,1.310768,1.311232,1.3105664000000001,0.012966588359983877,1
1541664000,1.31212,1.31209,1.30892,1.3093,10172,1.311076,1.310839,1.3106308000000002,0.012994928379267634,1
1541678400,1.31056,1.3093,1.30868,1.31025,10937,1.310962,1.310619,1.3108244000000002,0.012909560990274738,1
1541692800,1.31178,1.31023,1.30917,1.31153,15408,1.311024,1.3106769999999999,1.3108668,0.01269910377490513,1
1541707200,1.31825,1.31153,1.30864,1.31614,15957,1.311862,1.311188,1.311064,0.01485431202215226,1
1541721600,1.31626,1.31625,1.31394,1.31519,7035,1.3124820000000001,1.3116249999999998,1.3112728000000002,0.016061518741147918,1
1541736000,1.31817,1.31519,1.31496,1.31741,7955,1.314104,1.31259,1.3115656000000002,0.017956213201793414,1
1541750400,1.3194,1.31741,1.31724,1.31932,8250,1.3159180000000001,1.31344,1.3119116,0.019471124034558862,1
1541764800,1.31968,1.31932,1.31851,1.31876,9365,1.317364,1.314194,1.3122276,0.02194779494376231,1
1541779200,1.32323,1.31875,1.31747,1.32299,18461,1.318734,1.3152979999999999,1.3127636,0.02718982108215906,1
1541793600,1.32305,1.32298,1.32001,1.32012,10014,1.3197199999999998,1.3161010000000002,1.3131732,0.029202519933731352,1
1541808000,1.32119,1.32013,1.31891,1.32111,1189,1.32046,1.317282,1.313604,0.03139824831335014,1
1541980800,1.32077,1.32032,1.31891,1.31892,4434,1.3203799999999999,1.318149,1.3139132,0.03231807539360787,1
1541995200,1.31923,1.31891,1.31819,1.31855,7570,1.320338,1.318851,1.3142004,0.03296992105872132,1
1542009600,1.32106,1.31856,1.31855,1.32028,10641,1.319796,1.3192650000000001,1.3145748,0.03380198522222155,1
1542024000,1.32125,1.32028,1.31938,1.31943,9159,1.319658,1.3196890000000001,1.3148648,0.03414946845513178,1
1542038400,1.32267,1.31943,1.31916,1.32144,15664,1.319724,1.320092,1.3151932,0.03517492272730216,1
1542052800,1.32431,1.32143,1.32033,1.32413,10068,1.320766,1.320573,1.3156604,0.03739461282607559,1
1542067200,1.32488,1.32413,1.32338,1.32401,4839,1.321858,1.3210979999999999,1.3161828,0.039161114185813695,1
1542081600,1.32403,1.32398,1.32154,1.32179,6898,1.3221599999999998,1.320978,1.3166132000000002,0.03958587473490249,1
1542096000,1.32377,1.32179,1.32143,1.32364,9262,1.323002,1.3213300000000001,1.317126,0.040769299333968334,1
1542110400,1.32417,1.32364,1.32255,1.32265,12430,1.323244,1.321484,1.3177215999999998,0.04155815800127227,1
1542124800,1.32585,1.32265,1.32175,1.32234,19219,1.322886,1.3218260000000002,1.3181824,0.04192166742207881,1
1542139200,1.32626,1.32234,1.32221,1.3241,16804,1.322904,1.322381,1.3186976000000001,0.04222596501308962,1
1542153600,1.32419,1.32411,1.32174,1.32269,6367,1.3230840000000001,1.322622,1.3191272,0.04183577262549232,1
1542168000,1.32454,1.3227,1.32256,1.32441,7955,1.3232380000000001,1.3231199999999999,1.3196199999999998,0.04161786742618068,1
