<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.12	16:00:00	1.32202	1.32437	1.32142	1.32312	15842	0	1
2019.08.12	20:00:00	1.32312	1.32461	1.32298	1.32396	6371	0	2
2019.08.13	00:00:00	1.32385	1.32426	1.32320	1.32423	14734	0	2
2019.08.13	04:00:00	1.32423	1.32470	1.32352	1.32443	13184	0	2
2019.08.13	08:00:00	1.32443	1.32633	1.32407	1.32535	7655	0	1
2019.08.13	12:00:00	1.32535	1.32891	1.32470	1.32815	10593	0	1
2019.08.13	16:00:00	1.32815	1.32929	1.31844	1.32260	24071	0	1
2019.08.13	20:00:00	1.32260	1.32317	1.32123	1.32224	8082	0	1
2019.08.14	00:00:00	1.32215	1.32274	1.32117	1.32151	4310	0	2
2019.08.14	04:00:00	1.32151	1.32292	1.32106	1.32227	10744	0	1
2019.08.14	08:00:00	1.32227	1.32448	1.32218	1.32422	6967	0	1
2019.08.14	12:00:00	1.32422	1.33024	1.32417	1.32935	15021	0	1
2019.08.14	16:00:00	1.32935	1.33256	1.32920	1.33173	24622	0	1
2019.08.14	20:00:00	1.33173	1.33241	1.33063	1.33184	11830	0	1
2019.08.15	00:00:00	1.33184	1.33218	1.33079	1.33089	5023	0	3
2019.08.15	04:00:00	1.33088	1.33130	1.33008	1.33042	10390	0	1
2019.08.15	08:00:00	1.33042	1.33072	1.32853	1.33051	8563	0	1
2019.08.15	12:00:00	1.33056	1.33294	1.33003	1.33246	20780	0	1
2019.08.15	16:00:00	1.33250	1.33388	1.33147	1.33280	24063	0	1
2019.08.15	20:00:00	1.33280	1.33361	1.33115	1.33129	11985	0	1
2019.08.16	00:00:00	1.33125	1.33217	1.33095	1.33194	7890	0	1
2019.08.16	04:00:00	1.33193	1.33247	1.33117	1.33154	7816	0	2
2019.08.16	08:00:00	1.33153	1.33158	1.32968	1.32977	6971	0	1
2019.08.16	12:00:00	1.32977	1.33019	1.32851	1.32983	8870	0	1
